Team,Conf,Adjusted Tempo,Raw,Average Possession Length Offense,Average Possession Length Defense,Adjusted Off. Efficiency,Raw,Adjusted Def. Efficiency,Raw
Loyola Chicago,A10,67.3,67.5,17.4,18.1,107.6,106.6,104.5,102.7
Loyola Marymount,WCC,67,68,17,18.3,103.8,101.6,103.3,104.9
Loyola MD,PL,66.9,66.9,18.4,17.4,100.4,102.3,113.3,107.5
LSU,SEC,67.9,69.3,17.2,17.4,111.1,107,100.7,103.5
Maine,AE,66.1,66.4,17.5,18.4,102.1,104.4,106.6,101.3
Manhattan,MAAC,67.7,67.4,17.9,17.7,107.5,108.7,115.1,108.6
,,Tempo,,Avg. Poss Length,,Off. Efficiency,,Def. Efficiency,
Team,Conf,Adjusted,Raw,Offense,Defense,Adjusted,Raw,Adjusted,Raw
Marist,MAAC,64.2,64.4,18.9,18.1,99.7,103.9,106.1,98.9
Marquette,BE,67.5,67.9,16.1,19,118.1,113.2,95.6,98.6
Marshall,SB,68.9,68.9,16.7,17.9,106.7,108,107.1,104.1
Maryland,B10,70,70.7,15.9,18.1,118.4,115.7,93.6,94.8
Maryland Eastern Shore,MEAC,66.4,68,18.2,16.9,93.8,92.2,118.4,118.3
Massachusetts,A10,70.4,70.8,16.6,17.4,103.8,101.3,106.8,105.1
McNeese,Slnd,65.2,65.8,17.6,18.6,114,113.7,101.1,98.2
Memphis,Amer,70.5,70.7,16.1,17.9,114.6,111.4,98.1,101.8
Mercer,SC,71.4,71.7,15.4,17.8,100.6,102.2,108.2,106.4
Mercyhurst,NEC,64.9,64.5,19.6,17.6,99.1,100.6,116.7,110.1
Merrimack,MAAC,64.9,64.8,17.9,19.1,100.2,100.9,103.6,100
Miami FL,ACC,67.4,67.5,17.4,18.1,114,108.9,116.4,118.8
Miami OH,MAC,69.3,70.2,16.6,17.5,108,110.1,108.3,104.6
Michigan,B10,69.9,70.8,15.8,18,117.1,111.5,94.7,99
Michigan St.,B10,67.4,68.9,17.2,17.8,118.7,113.1,92.2,96.5
Middle Tennessee,CUSA,68.4,69.2,16.9,17.7,109.7,106.1,105.6,104.4
Milwaukee,Horz,68.8,69.5,16.5,18,108.5,110.4,106.1,103.8
