"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Tarleton St.",67.5115,209,65.8558,275,90.3221,361,94.3942,357,104.973,154,104.367,113,-9.97294,281
"2025","TCU",67.2576,227,66.9834,214,101.019,293,107.097,176,101.785,77,97.3702,31,9.72689,82
"2025","Temple",69.7242,92,69.0499,98,109.287,112,110.17,120,109.619,263,110.886,245,-0.716156,173
"2025","Tennessee",65.6754,306,63.9782,343,113.288,50,118.494,27,93.3229,6,87.0921,1,31.4023,5
"2025","Tennessee Martin",67.2186,230,66.9458,216,101.113,287,100.766,296,105.858,175,111.797,264,-11.0307,295
"2025","Tennessee St.",71.78,22,71.1952,25,104.187,230,102.339,256,103.28,107,110.067,230,-7.7274,257
"2025","Tennessee Tech",68.708,147,68.1471,143,102.417,261,101.386,281,107.208,203,113.578,302,-12.1926,304
"2025","Texas",68.4432,159,67.4601,189,113.415,49,116.688,44,103.041,102,100.699,60,15.9891,51
"2025","Texas A&M",67.8164,192,66.8237,223,108.88,122,115.938,54,99.1629,32,92.9526,8,22.9851,22
"2025","Texas A&M Corpus Chris",67.9723,183,67.9159,154,107.646,143,106.999,180,104.435,142,106.817,164,0.182846,161
"2025","Texas Southern",71.0748,38,70.0057,58,97.5981,330,96.3041,343,100.574,59,105.802,142,-9.4981,277
"2025","Texas St.",66.7091,251,66.0369,266,109.863,99,111.094,103,109.387,259,113.475,299,-2.38142,190
"2025","Texas Tech",66.6175,261,65.887,274,118.765,9,124.303,9,98.2997,27,96.7141,29,27.5888,7
"2025","The Citadel",65.3403,318,64.6737,323,95.3861,350,96.0374,345,116.684,353,117.419,345,-21.3818,356
"2025","Toledo",69.2482,119,68.3867,129,109.683,104,110.867,106,115.448,345,117.984,353,-7.11686,250
"2025","Towson",63.9736,353,63.7111,347,106.334,167,106.796,189,103.452,112,105.824,143,0.972361,150
"2025","Troy",66.6464,257,66.2518,252,107.273,152,106.804,187,99.1606,31,101.793,75,5.01153,109
"2025","Tulane",67.7273,196,67.1186,206,108.223,134,107.942,164,104.294,138,107.344,178,0.597591,155
"2025","Tulsa",67.4777,211,66.3947,238,101.567,280,100.66,301,108.039,224,110.774,240,-10.1137,285
