GAME-ID,Teams
401469941,"['North Carolina A&T Aggies', 'Stony Brook Seawolves']"
401469942,"['Charleston Cougars', 'Hampton Pirates']"
401469943,"['Northeastern Huskies', 'Charleston Cougars']"
401469944,"['Stony Brook Seawolves', 'Delaware Blue Hens']"
401469945,"['Drexel Dragons', 'Hofstra Pride']"
401469946,"['Towson Tigers', 'William & Mary Tribe']"
401469947,"['Hampton Pirates', 'Elon Phoenix']"
401469948,"['North Carolina A&T Aggies', 'Monmouth Hawks']"
401469949,"['Monmouth Hawks', 'Northeastern Huskies']"
401469950,"['Delaware Blue Hens', 'Towson Tigers']"
401469951,"['Hampton Pirates', 'Hofstra Pride']"
401469952,"['William & Mary Tribe', 'Stony Brook Seawolves']"
401469953,"['Charleston Cougars', 'Elon Phoenix']"
401469954,"['UNC Wilmington Seahawks', 'Drexel Dragons']"
401469955,"['Hofstra Pride', 'Stony Brook Seawolves']"
401469956,"['Drexel Dragons', 'Hampton Pirates']"
401469957,"['William & Mary Tribe', 'Northeastern Huskies']"
401469958,"['Elon Phoenix', 'Monmouth Hawks']"
401469959,"['North Carolina A&T Aggies', 'Towson Tigers']"
401469960,"['UNC Wilmington Seahawks', 'Delaware Blue Hens']"
401469961,"['Northeastern Huskies', 'Drexel Dragons']"
401469962,"['Stony Brook Seawolves', 'UNC Wilmington Seahawks']"
401469963,"['Monmouth Hawks', 'Hampton Pirates']"
401469964,"['Delaware Blue Hens', 'North Carolina A&T Aggies']"
